id;title;description;image;image_content_type;height;width;taken;uploaded
1;ADP Mountain Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96762;29391;2020-07-30T00:39:47;2020-07-30T13:34:08
2;haptic European Unit of Account 9(E.U.A.-9);../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;94646;91521;2020-07-30T20:30:29;2020-07-30T00:47:58
3;Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;52434;48877;2020-07-30T20:23:55;2020-07-30T22:04:57
4;deposit Borders Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10417;17002;2020-07-30T18:31:53;2020-07-30T08:00:45
5;neural compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2629;57552;2020-07-30T08:10:21;2020-07-30T03:23:08
6;Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;56390;95468;2020-07-30T06:12:56;2020-07-30T08:11:20
7;seize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;84740;96062;2020-07-30T20:00:39;2020-07-30T00:57:30
8;clear-thinking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;51077;92865;2020-07-30T21:24:15;2020-07-30T00:50:48
9;Djibouti Franc Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;45824;48239;2020-07-30T13:24:35;2020-07-30T04:10:08
10;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16357;73368;2020-07-30T14:59:43;2020-07-30T22:20:02
